name,stem,Adams filtration,weight,cell,shift,h0info,h0target,h1info,h1target,h2info,h2target,drinfo,drtarget
h2^2 d1,38,6,22,0,-1,,,,,,h1^3 e1,,
_h1^6 h5,38,6,21,1,1,,,,_h1^7 h5,,,,
h0 y,38,7,20,0,0,,,,,,,,
h1^7 h5,38,8,23,0,0,,,,,,,,
h1 h3 h5,39,3,21,0,0,,,,h1^2 h3 h5,,,,
h5 c0,39,4,21,0,0,,,,h1 h5 c0,,,,
h1 e1,39,5,22,0,0,,,,h1^2 e1,,,,
_h1^7 h5,39,7,22,1,-1,,,h,t g^2,,,,
c1 g,39,7,23,0,1,,,,,,h2 c1 g,,
u,39,9,21,0,0,,,,,,,,
P^2 h0^2 i,39,17,20,0,0,,P^2 h0^3 i,,,,,,
P^2 h0^3 i,39,18,20,0,0,,P^2 h0^4 i,,,,,,
P^2 h0^4 i,39,19,20,0,0,,P^2 h0^5 i,,,,,,
P^2 h0^5 i,39,20,20,0,0,,,,,,,,
h1^2 h3 h5,40,4,22,0,-1,,,,,,,,
f1,40,4,22,0,1,,,,h1 f1,,,,
h1 h5 c0,40,5,22,0,0,,,,h1^2 h5 c0,,,,
h1^2 e1,40,6,23,0,-1,,,,h1^3 e1,,,,
P h1 h5,40,6,21,0,1,,,,P h1^2 h5,,,,
t g^2,40,8,23,0,0,,,,t h1 g^2,,,,
h2 e0 g,40,9,24,0,0,,h0 h2 e0 g,,,,h0 h2 g^2,,
h0 h2 e0 g,40,10,24,0,0,,,,,,,,
P^4 c0,40,19,21,0,0,,,,loc,,,,
h0 c2,41,4,22,0,0,,,,,,,,
h1 f1,41,5,23,0,0,,,,,,,,
h1^2 h5 c0,41,6,23,0,0,,,,h1^3 h5 c0,,,,
h1^3 e1,41,7,24,0,-1,,,,,,,,
P h1^2 h5,41,7,22,0,1,,,,P h1^3 h5,,,,
t h1 g^2,41,9,24,0,-1,,,,,,,,
_t h0 h2 e0 g,41,9,22,1,1,,,,,h,d0 r,,
P^5 h1,41,21,21,0,0,,,,loc,,,,
_h1^2 h5 c0,42,5,22,1,0,h,P h2 h5,,_h1^3 h5 c0,h,h0 h5 d0,,
_h1^3 e1,42,6,23,1,-1,,,,,,,,
P h2 h5,42,6,22,0,1,,P h0 h2 h5,,,,h0^2 h5 d0,,
h1^3 h5 c0,42,7,24,0,-1,,,,h1^4 h5 c0,,,,
P h0 h2 h5,42,7,22,0,1,,,,,,,,
h2 c1 g,42,8,25,0,-1,,,,,,,,
P h1^3 h5,42,8,23,0,1,,,,,,,,
c0 e0^2,42,11,25,0,0,,,,h1 c0 e0^2,,,,
_h1^3 h5 c0,43,6,23,1,0,,,,_h1^4 h5 c0,,,,
_t h2 c1 g,43,7,23,1,0,,,,,h,N,,
h1^4 h5 c0,43,8,25,0,0,,,,h1^5 h5 c0,,,,
h2 g^2,43,9,26,0,0,,h0 h2 g^2,,,,h2^2 g^2,,
h0 h2 g^2,43,10,26,0,1,,,,,,,,
h1 c0 e0^2,43,12,26,0,0,,,,,,,,
_P^4 h1^2 c0,43,20,22,1,0,h,P^5 h2,,loc,h,P^4 h0 d0,,
P^5 h2,43,21,22,0,0,,P^5 h0 h2,,,,P^4 h0^2 d0,,
P^5 h0 h2,43,22,22,0,0,,,,,,,,
g2,44,4,24,0,0,,h0 g2,,h1 g2,,h2 g2,,
h0 g2,44,5,24,0,0,,h0^2 g2,,,,,,
h0^2 g2,44,6,24,0,0,,,,,,,,
_h1^4 h5 c0,44,7,24,1,0,,,,_h1^5 h5 c0,,,,
_t^2 h2 g^2,44,8,23,1,0,,,h,t w,,,,
_t h0 h2 g^2,44,9,24,1,-1,h,d0 r,,,h,e0 r,,
h1^5 h5 c0,44,9,26,0,1,,,,h1^6 h5 c0,,,,
d0 r,44,10,24,0,0,,,,,,,,
h3^2 h5,45,3,24,0,0,,h0 h3^2 h5,,,,,,
h0 h3^2 h5,45,4,24,0,0,,,,,,,,
h5 d0,45,5,24,0,-1,,h0 h5 d0,,h1 h5 d0,,h0 h5 e0,,
h1 g2,45,5,25,0,1,,,,h1^2 g2,,,,
h0 h5 d0,45,6,24,0,0,,h0^2 h5 d0,,,,,,
h0^2 h5 d0,45,7,24,0,0,,,,,,,,
_h1^5 h5 c0,45,8,25,1,0,,,,_h1^6 h5 c0,,,,
t w,45,9,24,0,0,,,,,,,,
h1^6 h5 c0,45,10,27,0,0,,,,,,,,
_P^5 h1^4,45,23,23,1,0,,,,loc,,,,
h1 h5 d0,46,6,25,0,-1,,,,,,,,
h1^2 g2,46,6,26,0,1,,,,,,,,
B1,46,7,25,0,0,,,,h1 B1,,,,
N,46,8,25,0,0,,,,,,,,
_h1^6 h5 c0,46,9,26,1,0,,,,,,,,
h2^2 g^2,46,10,28,0,0,,,,,,h1^2 h3 g^2,,
u',46,11,25,0,0,,,,h1 u',,,,
P^4 d0,46,20,24,0,0,,P^4 h0 d0,,,,,,
P^4 h0 d0,46,21,24,0,0,,P^4 h0^2 d0,,,,,,
P^4 h0^2 d0,46,22,24,0,0,,,,,,,,
h2 g2,47,5,26,0,-1,,,,,,,,
_h1^2 g2,47,5,25,1,1,,,,,h,C,3,N
h1 B1,47,8,26,0,-1,,,,h1^2 B1,,,,
P h5 c0,47,8,25,0,1,,,,P h1 h5 c0,,,,
_t h2^2 g^2,47,9,26,1,0,h,e0 r,,,h,g r,,
e0 r,47,10,26,0,0,,,,,,,,
h1 u',47,12,26,0,0,,,,,,,,
h0^4 Q',47,17,24,0,0,,h0^5 Q',,,,,3,P^4 d0
h0^5 Q',47,18,24,0,0,,h0^6 Q',,,,,3,P^4 h0 d0
h0^6 Q',47,19,24,0,0,,h0^7 Q',,,,,3,P^4 h0^2 d0
h0^7 Q',47,20,24,0,0,,h0^8 Q',,,,,,
h0^8 Q',47,21,24,0,0,,h0^9 Q',,,,,,
h0^9 Q',47,22,24,0,0,,h0^10 Q',,,,,,
h0^10 Q',47,23,24,0,0,,h0^11 Q',,,,,,
h0^11 Q',47,24,24,0,0,,,,,,,,
h0 h5 e0,48,6,26,0,0,,,,,,,,
B2,48,7,26,0,0,,h0 B2,,,,h2 B2,,
h0 B2,48,8,26,0,0,,,,,,,,
h1^2 B1,48,9,27,0,-1,,,,h1^3 B1,,,,
P h1 h5 c0,48,9,26,0,1,,,,P h1^2 h5 c0,,,,
h1 h3 g^2,48,10,29,0,0,,,,h1^2 h3 g^2,,,,
d0 e0^2,48,12,28,0,0,,,,h1 d0 e0^2,,,,
P^5 c0,48,23,25,0,0,,,,loc,,,,
h1 h5 e0,49,6,27,0,0,,,,h1^2 h5 e0,,,3,h1^2 B1
_h1 h3 g^2,49,9,28,1,0,,,,_h1^2 h3 g^2,,,3,d0 e0^2
h1^3 B1,49,10,28,0,-1,,,,h1^4 B1,,,,
P h1^2 h5 c0,49,10,27,0,1,,,,,,,,
h1^2 h3 g^2,49,11,30,0,0,,,,,,,,
h1 d0 e0^2,49,13,29,0,0,,,,,,,,
P^6 h1,49,25,25,0,0,,,,loc,,,,
h5 c1,50,4,27,0,0,,,,,,h2 h5 c1,,
C,50,6,27,0,0,,,,,,,,
h1^2 h5 e0,50,7,28,0,0,,,,h1^3 h5 e0,,,3,h1^3 B1
_P h1^2 h5 c0,50,9,26,1,-1,,,,,,,,
_h1^3 B1,50,9,27,1,1,,,,_h1^4 B1,,,,
g r,50,10,28,0,-1,,,,,,h1^2 G3,,
_h1^2 h3 g^2,50,10,29,1,1,,,,,,,3,h1 d0 e0^2
h1^4 B1,50,11,29,0,0,,,,h1^5 B1,,,,
h3 g2,51,5,28,0,0,,h0 h3 g2,,h1 h3 g2,,,,
h0 h3 g2,51,6,28,0,-1,,,,,,,,
_h1^2 h5 e0,51,6,27,1,1,,,,_h1^3 h5 e0,,,3,_h1^3 B1
h2 B2,51,8,28,0,-1,,,,,,,,
h1^3 h5 e0,51,8,29,0,1,,,,h1^4 h5 e0,,,3,h1^4 B1
g n,51,9,29,0,0,,,,,,h2 g n,,
_h1^4 B1,51,10,28,1,0,,,,_h1^5 B1,,,,
h1^5 B1,51,12,30,0,0,,,,h1^6 B1,,,,
_P^5 h1^2 c0,51,24,26,1,0,h,P^6 h2,,loc,,,,
P^6 h2,51,25,26,0,0,,P^6 h0 h2,,,,,,
P^6 h0 h2,51,26,26,0,0,,,,,,,,
h1 h3 g2,52,6,29,0,0,,,,,,,,
_h1^3 h5 e0,52,7,28,1,0,,,,_h1^4 h5 e0,,,3,_h1^4 B1
d1 g,52,8,30,0,0,,,,h1 d1 g,,h2 d1 g,,
h1^4 h5 e0,52,9,30,0,0,,,,h1^5 h5 e0,,,3,h1^5 B1
h1 G3,52,10,29,0,0,,,,h1^2 G3,,,,
_h1^5 B1,52,11,29,1,0,,,,_h1^6 B1,,,,
_t h0 e0^3,52,12,28,1,0,,,h,d0 u,,,,
h1^6 B1,52,13,31,0,0,,,,,,,,
h2 h5 c1,53,5,29,0,0,,,,,,,,
i1,53,7,30,0,0,,,,h1 i1,,,,
_h1^4 h5 e0,53,8,29,1,0,,,,_h1^5 h5 e0,,,3,_h1^5 B1
_h1 G3,53,9,28,1,-2,,,,_h1^2 G3,,,3,_t h0 e0^3
h1 d1 g,53,9,31,0,0,,,,h1^2 d1 g,,,,
B8,53,9,29,0,2,,,,h1 B8,,,,
h1^5 h5 e0,53,10,31,0,-1,,,,h1^6 h5 e0,,,3,h1^6 B1
x',53,10,28,0,1,,h0 x',,h1 x',,h2 x',,
h1^2 G3,53,11,30,0,-1,,,,,,,,
h0 x',53,11,28,0,1,,,,,,h0 h2 x',,
_h1^6 B1,53,12,30,1,0,,,,_h1^7 B1,,,,
d0 u,53,13,29,0,0,,,,,,,,
_P^6 h1^4,53,27,27,1,0,,,,loc,,,,
_h5 c0 d0,54,7,28,1,0,h,h5 i,,_h1 h5 c0 d0,h,h5 j,3,x'
_h1 d1 g,54,8,30,1,-2,,,,_h1^2 d1 g,,,,
h1 i1,54,8,31,0,0,,,,h1^2 i1,,,,
h5 i,54,8,28,0,2,,h0 h5 i,,,,h0 h5 j,3,h0 x'
_h1^5 h5 e0,54,9,30,1,-1,,,,_h1^6 h5 e0,,,3,_h1^6 B1
h0 h5 i,54,9,28,0,1,,,,,,,,
h2 g n,54,10,31,0,-3,,,,,,h1 g T,,
_h1^2 G3,54,10,29,1,-1,,,,,,,3,d0 u
h1^2 d1 g,54,10,32,0,1,,,,,,,,
h1 B8,54,10,30,0,3,,,,h1^2 B8,,,,
h1^6 h5 e0,54,11,32,0,-1,,,,h1^7 h5 e0,,,,
h1 x',54,11,29,0,1,,,,h1^2 x',,,,
_h1^7 B1,54,13,31,1,0,,,,_h1^8 B1,,,,
B6,55,7,30,0,-1,,,,,,,,
_h1 i1,55,7,30,1,1,,,,_h1^2 i1,,,3,h1 B8
_h1 h5 c0 d0,55,8,29,1,0,,,h,P h5 e0,,,3,h1 x'
_h1^2 d1 g,55,9,31,1,-3,,,h,g T,,,,
h2 d1 g,55,9,32,0,-1,,,,,,h2^2 d1 g,,
h1^2 i1,55,9,32,0,1,,,,h1^3 i1,,,,
_t h2 g n,55,9,29,1,3,,,,,,_t h1 g T,,
_h1^6 h5 e0,55,10,31,1,0,,,,_h1^7 h5 e0,,,3,_h1^7 B1
h1^2 B8,55,11,31,0,0,,,,h1^3 B8,,,,
h1^7 h5 e0,55,12,33,0,-1,,,,,,,,
h1^2 x',55,12,30,0,1,,,,h1^3 x',,,,
_h1^8 B1,55,14,32,1,0,,,h,c0 d0 e0^2,,,,
P^4 h0^2 i,55,25,28,0,0,,P^4 h0^3 i,,,,,,
P^4 h0^3 i,55,26,28,0,0,,P^4 h0^4 i,,,,,,
P^4 h0^4 i,55,27,28,0,0,,P^4 h0^5 i,,,,,,
P^4 h0^5 i,55,28,28,0,0,,,,,,,,
_B6,56,6,29,1,0,,,h,Q2,,_t e1 g,3,_t h2 g n
h5 c0 e0,56,8,31,0,-2,,,,h1 h5 c0 e0,,,3,h1^2 B8
_h1^2 i1,56,8,31,1,0,,,,_h1^3 i1,,,3,h1^2 B8
_t h2 d1 g,56,8,30,1,2,,,h,D11,,,,
P h5 e0,56,9,30,0,0,,,,P h1 h5 e0,,,3,h1^2 x'
g T,56,10,32,0,-3,,,,h1 g T,,,,
h1^3 i1,56,10,33,0,-1,,,,h1^4 i1,,,,
Q1,56,10,29,0,1,,,,h1 Q1,,,,
_h1^2 B8,56,10,30,1,3,h,h2 x',,_h1^3 B8,,,,
_h1^7 h5 e0,56,11,32,1,-1,,,h,t e0 g^2,,,3,_h1^8 B1
h2 x',56,11,30,0,1,,h0 h2 x',,,,,,
h0 h2 x',56,12,30,0,-1,,,,,,,,
h1^3 B8,56,12,32,0,1,,,,h1^4 B8,,,,
h1^3 x',56,13,31,0,0,,,,,,,,
c0 d0 e0^2,56,15,33,0,0,,,,h1 c0 d0 e0^2,,,,
P^6 c0,56,27,29,0,0,,,,loc,,,,
_h5 c0 e0,57,7,30,1,-1,h,h5 j,,_h1 h5 c0 e0,,,3,_h1^2 B8
Q2,57,7,30,0,1,,,,h1 Q2,,,,
h5 j,57,8,30,0,0,,h0 h5 j,,,,,3,h2 x'
h0 h5 j,57,9,30,0,-3,,,,,,,3,h0 h2 x'
h1 h5 c0 e0,57,9,32,0,-1,,,,h1^2 h5 c0 e0,,,3,h1^3 B8
_h1^3 i1,57,9,32,1,1,,,,_h1^4 i1,,,3,h1^3 B8
D11,57,9,31,0,3,,,,h1 D11,,,,
P h1 h5 e0,57,10,31,0,0,,,,P h1^2 h5 e0,,,3,h1^3 x'
h1 g T,57,11,33,0,-3,,,,,,,,
h1^4 i1,57,11,34,0,-1,,,,h1^5 i1,,,,
h1 Q1,57,11,30,0,1,,,,,,,,
_h1^3 B8,57,11,31,1,3,,,,_h1^4 B8,,,,
t e0 g^2,57,12,33,0,0,,,,h0 h2 g m,,,3,c0 d0 e0^2
h1^4 B8,57,13,33,0,-1,,,,h1^5 B8,,,,
h2 e0^2 g,57,13,34,0,1,,,,,,h0^2 g^3,,
h1 c0 d0 e0^2,57,16,34,0,0,,,,,,,,
P^7 h1,57,29,29,0,0,,,,loc,,,,
h3^2 g2,58,6,32,0,0,,,,,,,,
h0 D2,58,7,30,0,0,,,,,,,,
e1 g,58,8,33,0,-2,,,,h1 e1 g,,h1^2 j1,3,h1 g T
_h1 h5 c0 e0,58,8,31,1,0,,,,_h1^2 h5 c0 e0,,,3,_h1^3 B8
h1 Q2,58,8,31,0,2,,,,h1^2 Q2,,,,
h1^2 h5 c0 e0,58,10,33,0,-4,,,,h1^3 h5 c0 e0,,,3,h1^4 B8
_h1^4 i1,58,10,33,1,-2,,,,_h1^5 i1,,,3,h1^4 B8
h2^2 d1 g,58,10,34,0,0,,,,,,h1^3 e1 g,,
_t h1 g T,58,10,31,1,2,,,,,h,n r,,
h1 D11,58,10,32,0,4,,,,,,,,
P h1^2 h5 e0,58,11,32,0,0,,,,P h1^3 h5 e0,,,,
h1^5 i1,58,12,35,0,-1,,,,,,,,
_h1^4 B8,58,12,32,1,1,,,,_h1^5 B8,,,,
h0 h2 g m,58,13,34,0,-1,,,,,,,3,h1 c0 d0 e0^2
_h1^4 x',58,13,31,1,1,,,,_h1^5 x',,,,
h1^5 B8,58,14,34,0,0,,,,h1^6 B8,,,,
_h3^2 g2,59,5,31,1,0,,,,,h,h5 n,,
j1,59,7,33,0,-1,,,,h1 j1,,,,
_t e1 g,59,7,31,1,1,,,,,h,C0,3,_t h1 g T
h1^2 D4,59,8,33,0,0,,,,h1^3 D4,,,,
h1 e1 g,59,9,34,0,-3,,,,h1^2 e1 g,,,,
_h1 D11,59,9,31,1,-1,,,,_t^2 c1 g^2,,,,
_h1^2 h5 c0 e0,59,9,32,1,1,,,,_h1^3 h5 c0 e0,,,3,_h1^4 B8
h1^2 Q2,59,9,32,0,3,,,,h1^3 Q2,,,,
_P h1^2 h5 e0,59,10,31,1,-1,,,,_P h1^3 h5 e0,,,3,_h1^4 x'
B21,59,10,32,0,1,,,,h1 B21,,h0 B22,,
h1^3 h5 c0 e0,59,11,34,0,-2,,,,h1^4 h5 c0 e0,,,3,h1^5 B8
_h1^5 i1,59,11,34,1,0,,,h,t g^3,,,3,h1^5 B8
c1 g^2,59,11,35,0,2,,,,,,h2 c1 g^2,,
P h1^3 h5 e0,59,12,33,0,0,,,,,,,,
_h1^5 B8,59,13,33,1,0,,,,_h1^6 B8,,,,
_h1^5 x',59,14,32,1,0,,,h,d0 u',,,,
h1^6 B8,59,15,35,0,0,,,,h1^7 B8,,,,
_P^6 h1^2 c0,59,28,30,1,0,h,P^7 h2,,loc,h,P^6 h0 d0,,
P^7 h2,59,29,30,0,0,,P^7 h0 h2,,,,P^6 h0^2 d0,,
P^7 h0 h2,59,30,30,0,0,,,,,,,,
_j1,60,6,32,1,0,,,,_h1 j1,h,C',,
B3,60,7,32,0,0,,,,h1 B3,,,,
h1 j1,60,8,34,0,-2,,,,h1^2 j1,,,,
_h1 e1 g,60,8,33,1,0,,,,_h1^2 e1 g,,,,
_h1^2 Q2,60,8,31,1,2,,,,_h1^3 Q2,,,,
h1^3 D4,60,9,34,0,0,,,,h1^4 D4,,,,
h1^2 e1 g,60,10,35,0,-3,,,,h1^3 e1 g,,,,
_t^2 c1 g^2,60,10,32,1,-1,,,h,n r,,,,
_h1^3 h5 c0 e0,60,10,33,1,1,,,,_h1^4 h5 c0 e0,,,3,_h1^5 B8
h1^3 Q2,60,10,33,0,3,,,,h1^4 Q2,,,,
_P h1^3 h5 e0,60,11,32,1,-1,,,,_t^2 h0 g^3,,,3,_h1^5 x'
h1 B21,60,11,33,0,1,,,,,,,,
h1^4 h5 c0 e0,60,12,35,0,-1,,,,h1^5 h5 c0 e0,,,3,h1^6 B8
t g^3,60,12,35,0,1,,,,t h1 g^3,,,3,h1^6 B8
h0 g^3,60,13,36,0,0,,h0^2 g^3,,,,h0 h2 g^3,,
_h1^6 B8,60,14,34,1,-1,,,,_h1^7 B8,,,,
h0^2 g^3,60,14,36,0,1,,,,,,h1^7 h5 c0 e0,,
d0 u',60,15,33,0,0,,,,h1 d0 u',,,,
h1^7 B8,60,16,36,0,0,,,,,,,,
D3,61,4,32,0,0,,,,h1 D3,,h2 D3,3,B3
A',61,6,32,0,0,,,,,,h2 A',,
_h1 j1,61,7,33,1,0,,,,_h1^2 j1,,,,
h1 B3,61,8,33,0,-1,,,,,,,,
_h1^3 D4,61,8,33,1,1,,,,_h1^4 D4,,,3,h1 B21
h1^2 j1,61,9,35,0,-2,,,,,,,,
_h1^2 e1 g,61,9,34,1,0,,,,_h1^3 e1 g,,,,
_h1^3 Q2,61,9,32,1,2,,,,_h1^4 Q2,,,,
h1^4 D4,61,10,35,0,0,,,,h1^5 D4,,,,
h1^3 e1 g,61,11,36,0,-3,,,,,,,,
n r,61,11,33,0,-1,,,,,,,,
_h1^4 h5 c0 e0,61,11,34,1,1,,,,_h1^5 h5 c0 e0,,,3,_h1^6 B8
h1^4 Q2,61,11,34,0,3,,,,h1^5 Q2,,,,
_t^2 h0 g^3,61,12,33,1,0,,,h,t e0 w,,,3,d0 u'
